% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
2.026	0	0	203	7	48	24	6882	0
2.028	0	0	203	9	49	26	7708	0
2.029	0	0	203	10	63	28	9422	0
2.03	0	0	204	1	10	26	7708	0
2.031	0	0	204	2	57	26	7708	0
2.032	0	0	204	3	64	28	9422	0
2.033	0	0	204	4	68	28	9422	0
2.034	0	0	204	5	47	28	9422	0
2.035	0	0	204	6	26	28	9422	0
2.036	0	0	204	7	67	26	7708	0
2.037	0	0	204	8	71	24	6882	0
2.038	0	0	204	9	43	26	7708	0
2.039	0	0	204	10	34	24	6882	0
2.04	0	0	205	1	70	24	6882	0
2.041	0	0	205	2	20	24	6882	0
2.042	0	0	205	3	8	28	9422	0
2.043	0	0	205	4	3	24	6882	0
2.044	0	0	205	5	28	28	9422	0
2.045	0	0	205	6	41	28	9422	0
2.046	0	0	205	7	59	28	9422	0
2.047	0	0	205	8	5	24	6882	0
2.048	0	0	205	9	16	28	9422	0
2.049	0	0	205	10	7	28	9422	0
2.05	0	0	206	1	9	28	9422	0
2.051	0	0	206	2	41	28	9422	0
2.052	0	0	206	3	29	28	9422	0
2.054	0	0	206	5	12	28	9422	0
2.055	0	0	206	6	14	26	7708	0
2.056	0	0	206	7	72	24	6882	0
2.057	0	0	206	8	21	24	6882	0
2.059	0	0	206	10	17	28	9422	0
2.06	0	0	207	1	10	26	7708	0
2.061	0	0	207	2	61	24	6882	0
2.062	0	0	207	3	56	28	9422	0
2.063	0	0	207	4	25	26	7708	0
2.064	0	0	207	5	37	24	6882	0
2.065	0	0	207	6	59	28	9422	0
2.066	0	0	207	7	38	28	9422	0
2.067	0	0	207	8	48	24	6882	0
2.068	0	0	207	9	22	26	7708	0
2.069	0	0	207	10	49	26	7708	0
2.07	0	0	208	1	57	26	7708	0
2.071	0	0	208	2	64	28	9422	0
2.072	0	0	208	3	68	28	9422	0
2.073	0	0	208	4	41	28	9422	0
2.074	0	0	208	5	67	26	7708	0
2.075	0	0	208	6	16	28	9422	0
2.076	0	0	208	7	26	28	9422	0
2.077	0	0	208	8	71	24	6882	0
2.078	0	0	208	9	47	28	9422	0
2.079	0	0	208	10	43	26	7708	0
2.08	0	0	209	1	34	24	6882	0
2.081	0	0	209	2	8	28	9422	0
2.082	0	0	209	3	70	24	6882	0
2.083	0	0	209	4	20	24	6882	0
2.085	0	0	209	6	3	24	6882	0
2.086	0	0	209	7	5	24	6882	0
2.087	0	0	209	8	7	28	9422	0
2.088	0	0	209	9	9	28	9422	0
2.089	0	0	209	10	12	28	9422	0
2.09	0	0	210	1	27	28	9422	0
2.091	0	0	210	2	14	26	7708	0
2.092	0	0	210	3	21	24	6882	0
2.093	0	0	210	4	28	28	9422	0
2.094	0	0	210	5	17	28	9422	0
2.095	0	0	210	6	10	26	7708	0
2.096	0	0	210	7	56	28	9422	0
2.097	0	0	210	8	25	26	7708	0
2.098	0	0	210	9	37	24	6882	0
2.099	0	0	210	10	59	28	9422	0
2.1	0	0	211	1	38	28	9422	0
2.101	0	0	211	2	48	24	6882	0
2.102	0	0	211	3	22	26	7708	0
2.103	0	0	211	4	49	26	7708	0
2.105	0	0	211	6	57	26	7708	0
2.106	0	0	211	7	64	28	9422	0
2.107	0	0	211	8	68	28	9422	0
2.108	0	0	211	9	8	28	9422	0
2.109	0	0	211	10	16	28	9422	0
2.11	0	0	212	1	47	28	9422	0
2.111	0	0	212	2	26	28	9422	0
2.112	0	0	212	3	71	24	6882	0
2.113	0	0	212	4	43	26	7708	0
2.114	0	0	212	5	34	24	6882	0
2.115	0	0	212	6	70	24	6882	0
2.116	0	0	212	7	20	24	6882	0
2.117	0	0	212	8	41	28	9422	0
2.118	0	0	212	9	3	24	6882	0
2.119	0	0	212	10	5	24	6882	0
2.12	0	0	213	1	7	28	9422	0
2.121	0	0	213	2	9	28	9422	0
2.122	0	0	213	3	12	28	9422	0
2.123	0	0	213	4	14	26	7708	0
2.124	0	0	213	5	21	24	6882	0
2.125	0	0	213	6	28	28	9422	0
2.126	0	0	213	7	17	28	9422	0
2.127	0	0	213	8	10	26	7708	0
2.128	0	0	213	9	25	26	7708	0
2.129	0	0	213	10	37	24	6882	0
2.13	0	0	214	1	56	28	9422	0
2.131	0	0	214	2	59	28	9422	0
2.132	0	0	214	3	38	28	9422	0
2.133	0	0	214	4	27	28	9422	0
2.134	0	0	214	5	48	24	6882	0
2.135	0	0	214	6	49	26	7708	0
2.136	0	0	214	7	57	26	7708	0
2.137	0	0	214	8	64	28	9422	0
2.138	0	0	214	9	68	28	9422	0
2.139	0	0	214	10	8	28	9422	0
2.14	0	0	215	1	16	28	9422	0
2.141	0	0	215	2	47	28	9422	0
2.142	0	0	215	3	26	28	9422	0
2.143	0	0	215	4	71	24	6882	0
2.144	0	0	215	5	34	24	6882	0
2.145	0	0	215	6	70	24	6882	0
2.146	0	0	215	7	41	28	9422	0
2.147	0	0	215	8	3	24	6882	0
2.148	0	0	215	9	5	24	6882	0
2.149	0	0	215	10	7	28	9422	0
2.15	0	0	216	1	9	28	9422	0
2.151	0	0	216	2	12	28	9422	0
2.152	0	0	216	3	14	26	7708	0
2.153	0	0	216	4	21	24	6882	0
2.154	0	0	216	5	28	28	9422	0
2.155	0	0	216	6	17	28	9422	0
2.156	0	0	216	7	10	26	7708	0
2.157	0	0	216	8	56	28	9422	0
2.158	0	0	216	9	25	26	7708	0
2.159	0	0	216	10	37	24	6882	0
2.16	0	0	217	1	59	28	9422	0
2.161	0	0	217	2	38	28	9422	0
2.162	0	0	217	3	22	26	7708	0
2.163	0	0	217	4	27	28	9422	0
2.164	0	0	217	5	48	24	6882	0
2.165	0	0	217	6	45	28	9422	0
2.166	0	0	217	7	63	28	9422	0
2.167	0	0	217	8	49	26	7708	0
2.168	0	0	217	9	57	26	7708	0
2.169	0	0	217	10	20	24	6882	0
2.17	0	0	218	1	64	28	9422	0
2.171	0	0	218	2	45	28	9422	0
2.172	0	0	218	3	68	28	9422	0
2.173	0	0	218	4	16	28	9422	0
2.174	0	0	218	5	47	28	9422	0
2.175	0	0	218	6	26	28	9422	0
2.176	0	0	218	7	8	28	9422	0
2.177	0	0	218	8	71	24	6882	0
2.178	0	0	218	9	34	24	6882	0
2.179	0	0	218	10	70	24	6882	0
2.18	0	0	219	1	41	28	9422	0
2.181	0	0	219	2	3	24	6882	0
2.182	0	0	219	3	5	24	6882	0
2.183	0	0	219	4	7	28	9422	0
2.184	0	0	219	5	45	28	9422	0
2.185	0	0	219	6	9	28	9422	0
2.186	0	0	219	7	12	28	9422	0
2.187	0	0	219	8	14	26	7708	0
2.188	0	0	219	9	29	28	9422	0
2.189	0	0	219	10	21	24	6882	0
2.19	0	0	220	1	28	28	9422	0
2.191	0	0	220	2	17	28	9422	0
2.192	0	0	220	3	10	26	7708	0
2.193	0	0	220	4	56	28	9422	0
2.194	0	0	220	5	25	26	7708	0
2.195	0	0	220	6	37	24	6882	0
2.196	0	0	220	7	22	26	7708	0
2.197	0	0	220	8	59	28	9422	0
2.198	0	0	220	9	38	28	9422	0
2.199	0	0	220	10	48	24	6882	0
2.2	0	0	221	1	49	26	7708	0
2.201	0	0	221	2	27	28	9422	0
2.202	0	0	221	3	57	26	7708	0
2.203	0	0	221	4	64	28	9422	0
2.204	0	0	221	5	68	28	9422	0
2.205	0	0	221	6	45	28	9422	0
2.206	0	0	221	7	16	28	9422	0
2.207	0	0	221	8	8	28	9422	0
2.208	0	0	221	9	26	28	9422	0
2.209	0	0	221	10	71	24	6882	0
2.21	0	0	222	1	20	24	6882	0
2.211	0	0	222	2	34	24	6882	0
2.212	0	0	222	3	70	24	6882	0
2.213	0	0	222	4	41	28	9422	0
2.214	0	0	222	5	3	24	6882	0
2.215	0	0	222	6	22	26	7708	0
2.216	0	0	222	7	5	24	6882	0
2.217	0	0	222	8	7	28	9422	0
2.218	0	0	222	9	9	28	9422	0
2.219	0	0	222	10	12	28	9422	0
2.22	0	0	223	1	14	26	7708	0
2.221	0	0	223	2	21	24	6882	0
2.222	0	0	223	3	28	28	9422	0
2.223	0	0	223	4	17	28	9422	0
2.224	0	0	223	5	10	26	7708	0
2.225	0	0	223	6	25	26	7708	0
2.227	0	0	223	8	37	24	6882	0
2.228	0	0	223	9	59	28	9422	0
2.229	0	0	223	10	38	28	9422	0
2.23	0	0	224	1	27	28	9422	0
2.231	0	0	224	2	55	26	7708	0
2.232	0	0	224	3	48	24	6882	0
2.233	0	0	224	4	49	26	7708	0
2.234	0	0	224	5	57	26	7708	0
2.235	0	0	224	6	64	28	9422	0
2.236	0	0	224	7	36	28	9422	0
2.237	0	0	224	8	68	28	9422	0
2.238	0	0	224	9	16	28	9422	0
2.239	0	0	224	10	56	28	9422	0
2.24	0	0	225	1	8	28	9422	0
2.241	0	0	225	2	26	28	9422	0
2.242	0	0	225	3	71	24	6882	0
2.243	0	0	225	4	41	28	9422	0
2.244	0	0	225	5	3	24	6882	0
2.245	0	0	225	6	22	26	7708	0
2.246	0	0	225	7	61	24	6882	0
2.247	0	0	225	8	5	24	6882	0
2.248	0	0	225	9	34	24	6882	0
2.249	0	0	225	10	7	28	9422	0
2.25	0	0	226	1	9	28	9422	0
2.251	0	0	226	2	12	28	9422	0
2.252	0	0	226	3	14	26	7708	0
2.253	0	0	226	4	47	28	9422	0
2.254	0	0	226	5	21	24	6882	0
2.255	0	0	226	6	28	28	9422	0
2.256	0	0	226	7	4	24	6882	0
2.257	0	0	226	8	47	28	9422	0
2.258	0	0	226	9	45	28	9422	0
2.259	0	0	226	10	17	28	9422	0
2.26	0	0	227	1	10	26	7708	0
2.261	0	0	227	2	25	26	7708	0
2.262	0	0	227	3	20	24	6882	0
2.263	0	0	227	4	37	24	6882	0
2.264	0	0	227	5	72	24	6882	0
2.265	0	0	227	6	59	28	9422	0
2.266	0	0	227	7	38	28	9422	0
2.267	0	0	227	8	27	28	9422	0
2.268	0	0	227	9	48	24	6882	0
2.269	0	0	227	10	36	28	9422	0
2.27	0	0	228	1	36	28	9422	0
2.271	0	0	228	2	49	26	7708	0
2.272	0	0	228	3	57	26	7708	0
2.273	0	0	228	4	70	24	6882	0
2.274	0	0	228	5	64	28	9422	0
2.275	0	0	228	6	68	28	9422	0
2.276	0	0	228	7	45	28	9422	0
2.277	0	0	228	8	8	28	9422	0
2.278	0	0	228	9	26	28	9422	0
2.279	0	0	228	10	71	24	6882	0
2.28	0	0	229	1	34	24	6882	0
2.281	0	0	229	2	41	28	9422	0
2.282	0	0	229	3	3	24	6882	0
2.283	0	0	229	4	22	26	7708	0
2.284	0	0	229	5	5	24	6882	0
2.285	0	0	229	6	11	28	9422	0
2.286	0	0	229	7	7	28	9422	0
2.287	0	0	229	8	9	28	9422	0
2.288	0	0	229	9	12	28	9422	0
2.289	0	0	229	10	56	28	9422	0
2.29	0	0	230	1	14	26	7708	0
2.291	0	0	230	2	70	24	6882	0
2.292	0	0	230	3	21	24	6882	0
2.293	0	0	230	4	28	28	9422	0
2.294	0	0	230	5	47	28	9422	0
2.295	0	0	230	6	17	28	9422	0
2.296	0	0	230	7	44	26	7708	0
2.297	0	0	230	8	10	26	7708	0
2.298	0	0	230	9	25	26	7708	0
2.299	0	0	230	10	36	28	9422	0
2.3	0	0	231	1	20	24	6882	0
2.301	0	0	231	2	37	24	6882	0
2.302	0	0	231	3	63	28	9422	0
2.303	0	0	231	4	44	26	7708	0
2.304	0	0	231	5	38	28	9422	0
2.306	0	0	231	7	27	28	9422	0
2.307	0	0	231	8	48	24	6882	0
2.308	0	0	231	9	55	26	7708	0
2.309	0	0	231	10	49	26	7708	0
2.31	0	0	232	1	57	26	7708	0
2.311	0	0	232	2	64	28	9422	0
2.312	0	0	232	3	56	28	9422	0
2.313	0	0	232	4	68	28	9422	0
2.314	0	0	232	5	45	28	9422	0
2.315	0	0	232	6	8	28	9422	0
2.316	0	0	232	7	26	28	9422	0
2.317	0	0	232	8	71	24	6882	0
2.318	0	0	232	9	34	24	6882	0
2.319	0	0	232	10	3	24	6882	0
2.32	0	0	233	1	22	26	7708	0
2.321	0	0	233	2	5	24	6882	0
2.322	0	0	233	3	7	28	9422	0
2.323	0	0	233	4	36	28	9422	0
2.324	0	0	233	5	29	28	9422	0
2.325	0	0	233	6	9	28	9422	0
2.326	0	0	233	7	12	28	9422	0
2.327	0	0	233	8	4	24	6882	0
2.328	0	0	233	9	44	26	7708	0
2.329	0	0	233	10	72	24	6882	0
2.33	0	0	234	1	14	26	7708	0
2.331	0	0	234	2	70	24	6882	0
2.332	0	0	234	3	21	24	6882	0
2.333	0	0	234	4	28	28	9422	0
2.334	0	0	234	5	17	28	9422	0
2.335	0	0	234	6	10	26	7708	0
2.336	0	0	234	7	25	26	7708	0
2.337	0	0	234	8	20	24	6882	0
2.338	0	0	234	9	37	24	6882	0
2.339	0	0	234	10	38	28	9422	0
2.34	0	0	235	1	27	28	9422	0
2.341	0	0	235	2	48	24	6882	0
2.342	0	0	235	3	49	26	7708	0
2.343	0	0	235	4	57	26	7708	0
2.344	0	0	235	5	64	28	9422	0
2.345	0	0	235	6	56	28	9422	0
2.346	0	0	235	7	68	28	9422	0
2.347	0	0	235	8	45	28	9422	0
2.348	0	0	235	9	8	28	9422	0
2.349	0	0	235	10	26	28	9422	0
2.35	0	0	236	1	71	24	6882	0
2.351	0	0	236	2	34	24	6882	0
2.352	0	0	236	3	3	24	6882	0
2.353	0	0	236	4	5	24	6882	0
2.354	0	0	236	5	7	28	9422	0
2.355	0	0	236	6	36	28	9422	0
2.356	0	0	236	7	11	28	9422	0
2.357	0	0	236	8	9	28	9422	0
2.358	0	0	236	9	12	28	9422	0
2.359	0	0	236	10	14	26	7708	0
2.36	0	0	237	1	21	24	6882	0
2.361	0	0	237	2	17	28	9422	0
2.362	0	0	237	3	10	26	7708	0
2.363	0	0	237	4	25	26	7708	0
2.364	0	0	237	5	20	24	6882	0
2.365	0	0	237	6	37	24	6882	0
2.366	0	0	237	7	70	24	6882	0
2.367	0	0	237	8	38	28	9422	0
2.368	0	0	237	9	27	28	9422	0
2.369	0	0	237	10	48	24	6882	0
2.37	0	0	238	1	49	26	7708	0
2.371	0	0	238	2	22	26	7708	0
2.372	0	0	238	3	57	26	7708	0
2.373	0	0	238	4	64	28	9422	0
2.374	0	0	238	5	68	28	9422	0
2.375	0	0	238	6	26	28	9422	0
2.376	0	0	238	7	71	24	6882	0
2.377	0	0	238	8	8	28	9422	0
2.378	0	0	238	9	3	24	6882	0
2.379	0	0	238	10	5	24	6882	0
2.38	0	0	239	1	7	28	9422	0
2.381	0	0	239	2	36	28	9422	0
2.382	0	0	239	3	9	28	9422	0
2.383	0	0	239	4	28	28	9422	0
2.384	0	0	239	5	12	28	9422	0
2.385	0	0	239	6	14	26	7708	0
2.386	0	0	239	7	21	24	6882	0
2.387	0	0	239	8	70	24	6882	0
2.388	0	0	239	9	17	28	9422	0
2.389	0	0	239	10	10	26	7708	0
2.39	0	0	240	1	25	26	7708	0
2.391	0	0	240	2	37	24	6882	0
2.393	0	0	240	4	38	28	9422	0
2.394	0	0	240	5	27	28	9422	0
2.395	0	0	240	6	48	24	6882	0
2.396	0	0	240	7	49	26	7708	0
2.397	0	0	240	8	56	28	9422	0
2.398	0	0	240	9	57	26	7708	0
2.399	0	0	240	10	64	28	9422	0
2.4	0	0	241	1	68	28	9422	0
2.401	0	0	241	2	22	26	7708	0
2.402	0	0	241	3	8	28	9422	0
2.403	0	0	241	4	20	24	6882	0
2.404	0	0	241	5	71	24	6882	0
2.405	0	0	241	6	3	24	6882	0
2.406	0	0	241	7	5	24	6882	0
2.407	0	0	241	8	7	28	9422	0
2.408	0	0	241	9	36	28	9422	0
2.409	0	0	241	10	9	28	9422	0
2.41	0	0	242	1	12	28	9422	0
2.411	0	0	242	2	14	26	7708	0
2.412	0	0	242	3	65	28	9422	0
2.413	0	0	242	4	17	28	9422	0
2.415	0	0	242	6	10	26	7708	0
2.416	0	0	242	7	25	26	7708	0
2.417	0	0	242	8	37	24	6882	0
2.418	0	0	242	9	28	28	9422	0
2.419	0	0	242	10	38	28	9422	0
2.42	0	0	243	1	11	28	9422	0
2.421	0	0	243	2	27	28	9422	0
2.422	0	0	243	3	44	26	7708	0
2.423	0	0	243	4	48	24	6882	0
2.424	0	0	243	5	49	26	7708	0
2.425	0	0	243	6	61	24	6882	0
2.426	0	0	243	7	57	26	7708	0
2.427	0	0	243	8	64	28	9422	0
2.428	0	0	243	9	68	28	9422	0
2.429	0	0	243	10	56	28	9422	0
2.43	0	0	244	1	20	24	6882	0
2.431	0	0	244	2	8	28	9422	0
2.432	0	0	244	3	71	24	6882	0
2.433	0	0	244	4	3	24	6882	0
2.434	0	0	244	5	5	24	6882	0
2.435	0	0	244	6	26	28	9422	0
2.436	0	0	244	7	7	28	9422	0
2.438	0	0	244	9	36	28	9422	0
2.439	0	0	244	10	63	28	9422	0
2.44	0	0	245	1	9	28	9422	0
2.441	0	0	245	2	12	28	9422	0
2.442	0	0	245	3	65	28	9422	0
2.443	0	0	245	4	65	28	9422	0
2.444	0	0	245	5	61	24	6882	0
2.446	0	0	245	7	65	28	9422	0
2.447	0	0	245	8	56	28	9422	0
2.448	0	0	245	9	14	26	7708	0
2.449	0	0	245	10	17	28	9422	0
2.45	0	0	246	1	22	26	7708	0
2.451	0	0	246	2	61	24	6882	0
2.452	0	0	246	3	10	26	7708	0
2.453	0	0	246	4	25	26	7708	0
2.454	0	0	246	5	37	24	6882	0
2.455	0	0	246	6	45	28	9422	0
2.456	0	0	246	7	34	24	6882	0
2.457	0	0	246	8	41	28	9422	0
2.458	0	0	246	9	45	28	9422	0
2.459	0	0	246	10	44	26	7708	0
2.46	0	0	247	1	29	28	9422	0
2.461	0	0	247	2	28	28	9422	0
2.462	0	0	247	3	38	28	9422	0
2.463	0	0	247	4	27	28	9422	0
2.464	0	0	247	5	48	24	6882	0
2.465	0	0	247	6	21	24	6882	0
2.466	0	0	247	7	20	24	6882	0
2.467	0	0	247	8	49	26	7708	0
2.468	0	0	247	9	55	26	7708	0
2.469	0	0	247	10	61	24	6882	0
2.47	0	0	248	1	57	26	7708	0
2.471	0	0	248	2	64	28	9422	0
2.472	0	0	248	3	68	28	9422	0
2.473	0	0	248	4	47	28	9422	0
2.474	0	0	248	5	8	28	9422	0
2.475	0	0	248	6	71	24	6882	0
2.476	0	0	248	7	3	24	6882	0
2.477	0	0	248	8	5	24	6882	0
2.479	0	0	248	10	7	28	9422	0
2.48	0	0	249	1	45	28	9422	0
2.481	0	0	249	2	36	28	9422	0
2.482	0	0	249	3	34	24	6882	0
2.483	0	0	249	4	9	28	9422	0
2.484	0	0	249	5	12	28	9422	0
2.485	0	0	249	6	26	28	9422	0
2.486	0	0	249	7	65	28	9422	0
2.487	0	0	249	8	56	28	9422	0
2.488	0	0	249	9	14	26	7708	0
2.489	0	0	249	10	11	28	9422	0
2.49	0	0	250	1	17	28	9422	0
2.491	0	0	250	2	22	26	7708	0
2.492	0	0	250	3	44	26	7708	0
2.493	0	0	250	4	10	26	7708	0
2.494	0	0	250	5	55	26	7708	0
2.495	0	0	250	6	25	26	7708	0
2.497	0	0	250	8	37	24	6882	0
2.498	0	0	250	9	28	28	9422	0
2.499	0	0	250	10	38	28	9422	0
2.5	0	0	251	1	48	24	6882	0
2.501	0	0	251	2	27	28	9422	0
2.502	0	0	251	3	20	24	6882	0
2.503	0	0	251	4	49	26	7708	0
2.504	0	0	251	5	61	24	6882	0
2.505	0	0	251	6	57	26	7708	0
2.506	0	0	251	7	64	28	9422	0
2.507	0	0	251	8	63	28	9422	0
2.508	0	0	251	9	68	28	9422	0
2.509	0	0	251	10	8	28	9422	0
2.51	0	0	252	1	21	24	6882	0
2.511	0	0	252	2	71	24	6882	0
2.512	0	0	252	3	3	24	6882	0
2.513	0	0	252	4	5	24	6882	0
2.514	0	0	252	5	7	28	9422	0
2.515	0	0	252	6	45	28	9422	0
2.516	0	0	252	7	36	28	9422	0
2.517	0	0	252	8	9	28	9422	0
2.518	0	0	252	9	12	28	9422	0
2.519	0	0	252	10	26	28	9422	0
2.52	0	0	253	1	65	28	9422	0
2.521	0	0	253	2	14	26	7708	0
2.522	0	0	253	3	17	28	9422	0
2.523	0	0	253	4	22	26	7708	0
2.524	0	0	253	5	10	26	7708	0
2.525	0	0	253	6	56	28	9422	0
2.526	0	0	253	7	34	24	6882	0
2.527	0	0	253	8	25	26	7708	0
2.528	0	0	253	9	37	24	6882	0
2.529	0	0	253	10	29	28	9422	0
2.53	0	0	254	1	44	26	7708	0
2.531	0	0	254	2	28	28	9422	0
2.532	0	0	254	3	4	24	6882	0
2.533	0	0	254	4	38	28	9422	0
2.534	0	0	254	5	72	24	6882	0
2.535	0	0	254	6	27	28	9422	0
2.536	0	0	254	7	48	24	6882	0
2.537	0	0	254	8	20	24	6882	0
2.538	0	0	254	9	49	26	7708	0
2.539	0	0	254	10	61	24	6882	0
2.54	0	0	255	1	57	26	7708	0
2.541	0	0	255	2	64	28	9422	0
2.542	0	0	255	3	68	28	9422	0
2.543	0	0	255	4	8	28	9422	0
2.544	0	0	255	5	21	24	6882	0
2.545	0	0	255	6	71	24	6882	0
2.546	0	0	255	7	3	24	6882	0
2.547	0	0	255	8	5	24	6882	0
2.548	0	0	255	9	7	28	9422	0
2.549	0	0	255	10	45	28	9422	0
2.55	0	0	256	1	9	28	9422	0
2.551	0	0	256	2	12	28	9422	0
2.552	0	0	256	3	26	28	9422	0
2.553	0	0	256	4	65	28	9422	0
2.554	0	0	256	5	14	26	7708	0
2.555	0	0	256	6	56	28	9422	0
2.556	0	0	256	7	17	28	9422	0
2.557	0	0	256	8	22	26	7708	0
2.558	0	0	256	9	10	26	7708	0
2.559	0	0	256	10	34	24	6882	0
2.56	0	0	257	1	44	26	7708	0
2.561	0	0	257	2	25	26	7708	0
2.562	0	0	257	3	37	24	6882	0
2.563	0	0	257	4	28	28	9422	0
2.564	0	0	257	5	38	28	9422	0
2.565	0	0	257	6	27	28	9422	0
2.566	0	0	257	7	48	24	6882	0
2.567	0	0	257	8	20	24	6882	0
2.568	0	0	257	9	49	26	7708	0
2.569	0	0	257	10	61	24	6882	0
2.57	0	0	258	1	57	26	7708	0
2.571	0	0	258	2	64	28	9422	0
2.572	0	0	258	3	68	28	9422	0
2.573	0	0	258	4	8	28	9422	0
2.574	0	0	258	5	21	24	6882	0
2.575	0	0	258	6	71	24	6882	0
2.576	0	0	258	7	3	24	6882	0
2.577	0	0	258	8	5	24	6882	0
2.578	0	0	258	9	7	28	9422	0
2.579	0	0	258	10	9	28	9422	0
2.58	0	0	259	1	12	28	9422	0
2.581	0	0	259	2	65	28	9422	0
2.582	0	0	259	3	14	26	7708	0
2.583	0	0	259	4	56	28	9422	0
2.584	0	0	259	5	26	28	9422	0
2.585	0	0	259	6	17	28	9422	0
2.586	0	0	259	7	22	26	7708	0
2.587	0	0	259	8	10	26	7708	0
2.588	0	0	259	9	34	24	6882	0
2.589	0	0	259	10	25	26	7708	0
2.59	0	0	260	1	37	24	6882	0
2.591	0	0	260	2	28	28	9422	0
2.592	0	0	260	3	38	28	9422	0
2.593	0	0	260	4	27	28	9422	0
2.594	0	0	260	5	44	26	7708	0
2.595	0	0	260	6	48	24	6882	0
2.596	0	0	260	7	20	24	6882	0
2.597	0	0	260	8	49	26	7708	0
2.598	0	0	260	9	61	24	6882	0
2.599	0	0	260	10	57	26	7708	0
2.6	0	0	261	1	64	28	9422	0
2.601	0	0	261	2	72	24	6882	0
2.602	0	0	261	3	68	28	9422	0
2.603	0	0	261	4	21	24	6882	0
2.604	0	0	261	5	71	24	6882	0
2.605	0	0	261	6	3	24	6882	0
2.606	0	0	261	7	5	24	6882	0
2.607	0	0	261	8	36	28	9422	0
2.608	0	0	261	9	7	28	9422	0
2.609	0	0	261	10	9	28	9422	0
2.61	0	0	262	1	12	28	9422	0
2.611	0	0	262	2	65	28	9422	0
2.612	0	0	262	3	26	28	9422	0
2.613	0	0	262	4	8	28	9422	0
2.614	0	0	262	5	14	26	7708	0
2.615	0	0	262	6	17	28	9422	0
2.616	0	0	262	7	22	26	7708	0
2.617	0	0	262	8	10	26	7708	0
2.618	0	0	262	9	56	28	9422	0
2.62	0	0	263	1	34	24	6882	0
2.621	0	0	263	2	25	26	7708	0
2.622	0	0	263	3	44	26	7708	0
2.623	0	0	263	4	37	24	6882	0
2.624	0	0	263	5	28	28	9422	0
2.625	0	0	263	6	38	28	9422	0
2.626	0	0	263	7	27	28	9422	0
2.627	0	0	263	8	48	24	6882	0
2.628	0	0	263	9	20	24	6882	0
2.629	0	0	263	10	49	26	7708	0
2.63	0	0	264	1	61	24	6882	0
2.631	0	0	264	2	57	26	7708	0
2.632	0	0	264	3	64	28	9422	0
2.633	0	0	264	4	68	28	9422	0
2.634	0	0	264	5	11	28	9422	0
2.635	0	0	264	6	21	24	6882	0
2.636	0	0	264	7	36	28	9422	0
2.637	0	0	264	8	71	24	6882	0
2.638	0	0	264	9	3	24	6882	0
2.639	0	0	264	10	8	28	9422	0
2.64	0	0	265	1	5	24	6882	0
2.641	0	0	265	2	7	28	9422	0
2.642	0	0	265	3	9	28	9422	0
2.643	0	0	265	4	12	28	9422	0
2.644	0	0	265	5	63	28	9422	0
2.645	0	0	265	6	65	28	9422	0
2.646	0	0	265	7	26	28	9422	0
2.647	0	0	265	8	14	26	7708	0
2.648	0	0	265	9	56	28	9422	0
2.649	0	0	265	10	17	28	9422	0
2.65	0	0	266	1	46	26	7708	0
2.651	0	0	266	2	22	26	7708	0
2.652	0	0	266	3	10	26	7708	0
2.653	0	0	266	4	25	26	7708	0
2.654	0	0	266	5	44	26	7708	0
2.655	0	0	266	6	37	24	6882	0
2.656	0	0	266	7	28	28	9422	0
2.657	0	0	266	8	38	28	9422	0
2.658	0	0	266	9	27	28	9422	0
2.659	0	0	266	10	48	24	6882	0
2.66	0	0	267	1	34	24	6882	0
2.661	0	0	267	2	20	24	6882	0
2.662	0	0	267	3	49	26	7708	0
2.663	0	0	267	4	61	24	6882	0
2.664	0	0	267	5	57	26	7708	0
2.665	0	0	267	6	64	28	9422	0
2.666	0	0	267	7	68	28	9422	0
2.667	0	0	267	8	21	24	6882	0
2.668	0	0	267	9	36	28	9422	0
2.669	0	0	267	10	71	24	6882	0
2.67	0	0	268	1	3	24	6882	0
2.671	0	0	268	2	8	28	9422	0
2.672	0	0	268	3	5	24	6882	0
2.673	0	0	268	4	7	28	9422	0
2.674	0	0	268	5	9	28	9422	0
2.675	0	0	268	6	12	28	9422	0
2.676	0	0	268	7	26	28	9422	0
2.677	0	0	268	8	14	26	7708	0
2.678	0	0	268	9	56	28	9422	0
2.679	0	0	268	10	17	28	9422	0
2.68	0	0	269	1	22	26	7708	0
2.681	0	0	269	2	10	26	7708	0
2.682	0	0	269	3	25	26	7708	0
2.683	0	0	269	4	44	26	7708	0
2.684	0	0	269	5	34	24	6882	0
2.685	0	0	269	6	37	24	6882	0
2.686	0	0	269	7	28	28	9422	0
2.687	0	0	269	8	38	28	9422	0
2.688	0	0	269	9	27	28	9422	0
2.689	0	0	269	10	48	24	6882	0
2.69	0	0	270	1	20	24	6882	0
2.691	0	0	270	2	49	26	7708	0
2.692	0	0	270	3	61	24	6882	0
2.693	0	0	270	4	29	28	9422	0
2.694	0	0	270	5	57	26	7708	0
2.695	0	0	270	6	64	28	9422	0
2.696	0	0	270	7	11	28	9422	0
2.697	0	0	270	8	68	28	9422	0
2.698	0	0	270	9	36	28	9422	0
2.699	0	0	270	10	71	24	6882	0
2.7	0	0	271	1	3	24	6882	0
2.701	0	0	271	2	5	24	6882	0
2.702	0	0	271	3	7	28	9422	0
2.703	0	0	271	4	9	28	9422	0
2.704	0	0	271	5	12	28	9422	0
